City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Navoi,UZ,40.08,65.38,41.0,48,0,11.41,clear sky
152,Saint-Philippe,RE,-21.36,55.77,64.99,77,90,9.17,overcast clouds
153,Pevek,RU,69.7,170.31,21.54,95,93,7.43,overcast clouds
154,Santa Rosa,PH,14.31,121.11,82.4,69,20,4.7,few clouds
155,Saskylakh,RU,71.92,114.08,-2.13,84,0,5.86,clear sky
156,Constitucion,CL,-35.33,-72.42,65.93,55,0,10.2,clear sky
157,Te Anau,NZ,-45.42,167.72,53.76,93,100,1.28,overcast clouds
158,Kalemie,CD,-5.95,29.19,71.11,78,30,5.37,scattered clouds
159,Menongue,AO,-14.66,17.69,67.44,74,49,4.65,light rain
160,Kenai,US,60.55,-151.26,26.01,79,1,3.36,clear sky
161,Kaitangata,NZ,-46.28,169.85,60.01,96,100,3.29,light rain
162,Honningsvag,NO,70.98,25.97,35.6,59,75,8.05,broken clouds
163,Leesburg,US,39.12,-77.56,53.01,61,90,9.17,overcast clouds
164,Nefteyugansk,RU,61.1,72.6,35.6,100,75,11.18,broken clouds
165,Thompson,CA,55.74,-97.86,21.2,62,90,2.24,overcast clouds
166,Huilong,CN,31.81,121.66,59.0,85,0,5.19,clear sky
167,Geraldton,AU,-28.77,114.6,62.6,93,75,4.7,broken clouds
168,Carauari,BR,-4.88,-66.9,87.84,63,90,2.17,light rain
169,Husainabad,IN,24.53,84.02,67.95,55,0,4.94,clear sky
170,Jaguarari,BR,-10.26,-40.2,78.26,58,64,7.02,broken clouds
171,Barra Do Garcas,BR,-15.89,-52.26,91.4,49,40,6.93,scattered clouds
172,Topolevo,RU,48.5,135.2,30.2,100,0,4.47,clear sky
173,Yenagoa,NG,4.92,6.26,76.86,92,25,4.18,scattered clouds
174,Egvekinot,RU,66.32,-179.17,13.35,84,41,8.79,scattered clouds
175,Provideniya,RU,64.38,-173.3,24.12,92,98,7.36,overcast clouds
176,Laela,TZ,-8.57,32.05,67.39,60,99,2.1,overcast clouds
177,Tautira,PF,-17.73,-149.15,82.4,69,75,13.87,broken clouds
178,Los Llanos De Aridane,ES,28.66,-17.92,71.6,73,40,9.17,scattered clouds
179,North Bend,US,43.41,-124.22,68.0,67,90,4.7,overcast clouds
180,Rawson,AR,-43.3,-65.1,70.57,23,0,17.4,clear sky
181,Hithadhoo,MV,-0.6,73.08,82.96,76,83,10.07,broken clouds
182,Ixtapa,MX,20.7,-105.2,86.0,66,5,8.05,clear sky
183,Bani,DO,18.28,-70.33,87.8,70,75,5.82,broken clouds
184,Nago,JP,26.59,127.98,64.4,82,1,8.05,clear sky
185,Moose Factory,CA,51.26,-80.61,30.2,46,1,13.87,clear sky
186,Husavik,IS,66.04,-17.34,37.4,100,90,6.93,overcast clouds
187,Nome,US,64.5,-165.41,21.2,85,75,5.82,broken clouds
188,Waitati,NZ,-45.75,170.57,62.01,74,100,5.01,moderate rain
189,Bressanone,IT,46.72,11.66,42.8,93,0,2.24,clear sky
190,Majene,ID,-3.54,118.97,77.68,81,83,4.59,broken clouds
191,Owando,CG,-0.48,15.9,71.26,96,73,1.28,moderate rain
192,Coahuayana,MX,18.73,-103.68,82.4,65,75,4.94,broken clouds
193,Dikson,RU,73.51,80.55,13.3,96,100,29.1,light snow
194,Bengkulu,ID,-3.8,102.27,75.13,88,69,4.21,moderate rain
195,Nioro,GM,13.35,-15.75,82.04,36,81,4.88,broken clouds
196,Ushirombo,TZ,-3.49,31.96,67.42,85,64,0.63,light rain
197,Dunedin,NZ,-45.87,170.5,62.01,66,100,2.82,moderate rain
198,Dakar,SN,14.69,-17.44,82.4,61,0,18.34,clear sky
199,Charleston,US,32.78,-79.93,73.4,49,1,9.17,clear sky
200,Byron Bay,AU,-28.65,153.62,73.99,78,84,9.17,broken clouds
201,Barahona,DO,18.21,-71.1,84.2,79,75,9.17,broken clouds
202,Dogondoutchi,NE,13.64,4.03,88.3,15,0,7.29,clear sky
203,Saldanha,ZA,-33.01,17.94,57.2,67,0,14.99,clear sky
204,Kapaa,US,22.08,-159.32,82.0,69,1,10.29,clear sky
205,Hami,CN,42.8,93.45,31.41,79,0,1.54,clear sky
206,Kloulklubed,PW,7.04,134.26,78.8,83,75,18.34,broken clouds
207,Tongliao,CN,43.61,122.27,50.65,44,100,21.0,overcast clouds
208,Nikolskoye,RU,59.7,30.79,46.0,93,90,4.47,fog
209,Codrington,AU,-38.27,141.97,54.19,88,19,11.61,few clouds
210,Abonnema,NG,4.71,6.79,77.99,87,45,5.19,scattered clouds
211,Ghugus,IN,19.93,79.13,68.81,64,0,3.31,clear sky
212,Malakal,SS,9.53,31.66,75.67,80,100,3.71,overcast clouds
213,Portland,US,45.52,-122.68,60.01,82,75,3.36,broken clouds
214,Walvis Bay,NA,-22.96,14.51,57.2,71,46,4.7,scattered clouds
215,Vardo,NO,70.37,31.11,30.2,86,75,19.46,broken clouds
216,Derzhavinsk,KZ,51.1,66.32,34.93,81,5,2.8,clear sky
217,Flinders,AU,-34.58,150.86,64.99,92,100,4.0,moderate rain
218,Puerto Escondido,MX,15.85,-97.07,86.0,66,75,3.36,broken clouds
219,Guanhaes,BR,-18.77,-42.93,69.48,94,94,7.11,overcast clouds
220,Sorland,NO,67.67,12.69,37.4,51,0,6.93,clear sky
221,Neyshabur,IR,36.21,58.8,48.6,39,0,1.68,clear sky
222,Murgab,TM,37.5,61.97,46.4,49,0,4.7,clear sky
223,Sidi Ali,DZ,36.1,0.42,67.62,51,0,6.49,clear sky
224,Port Lincoln,AU,-34.73,135.87,56.26,83,41,9.73,scattered clouds
225,Lavrentiya,RU,65.58,-171.0,22.24,86,100,7.94,overcast clouds
226,Boda,CF,4.32,17.47,70.77,94,97,1.63,light rain
227,Volot,RU,57.93,30.7,45.97,96,100,2.84,overcast clouds
228,Bhilwara,IN,25.35,74.63,66.04,26,0,5.7,clear sky
229,Airai,TL,-8.93,125.41,59.41,94,7,2.19,clear sky
230,Inhambane,MZ,-23.86,35.38,72.52,86,45,8.39,scattered clouds
231,Pangai,TO,-19.8,-174.35,78.8,57,20,16.11,few clouds
232,Beira,MZ,-19.84,34.84,77.0,88,20,8.05,few clouds
233,Yiyang,CN,28.59,112.33,58.3,90,100,3.27,overcast clouds
234,Dunmore Town,BS,25.5,-76.65,82.08,70,25,5.12,scattered clouds
235,Linxia,CN,35.6,103.21,34.45,83,90,2.06,overcast clouds
236,Samarai,PG,-10.62,150.67,80.56,81,90,7.83,light rain
237,Salalah,OM,17.02,54.09,77.0,69,0,5.82,clear sky
238,Clyde River,CA,70.47,-68.59,12.2,85,75,17.22,light snow
239,Vera Cruz,BR,-12.63,-41.03,77.5,56,100,4.59,overcast clouds
240,Vanavara,RU,60.34,102.28,7.43,95,89,2.71,overcast clouds
241,Jamestown,US,42.1,-79.24,37.0,94,90,9.17,overcast clouds
242,Eyl,SO,7.98,49.82,80.94,76,18,10.38,few clouds
243,Galle,LK,6.04,80.22,78.85,83,100,6.76,overcast clouds
244,Hongjiang,CN,27.11,110.0,58.98,88,100,1.36,overcast clouds
245,Avera,US,33.19,-82.53,71.6,49,1,8.05,clear sky
246,Ankazobe,MG,-18.32,47.12,57.2,71,75,10.29,broken clouds
247,Moree,AU,-29.47,149.85,60.8,48,0,10.76,clear sky
248,Tomatlan,MX,19.93,-105.25,85.96,67,91,5.79,overcast clouds
249,Nipawin,CA,53.37,-104.0,26.6,100,90,16.11,snow
250,Barcelona,ES,41.39,2.16,62.01,87,20,2.24,few clouds
251,Faya,SA,18.39,42.45,60.8,87,0,1.83,clear sky
252,Ikom,NG,5.97,8.71,75.27,93,41,1.43,scattered clouds
253,Safaga,EG,26.73,33.94,77.63,64,0,7.9,clear sky
254,Pyaozerskiy,RU,65.83,31.17,29.61,95,0,5.46,clear sky
255,Sawtell,AU,-30.38,153.1,69.8,83,33,6.93,scattered clouds
256,Miranda,CO,3.25,-76.23,87.8,40,75,5.82,moderate rain
257,Alofi,NU,-19.06,-169.92,75.2,88,75,14.99,broken clouds
258,Taraza,CO,7.58,-75.4,82.49,84,73,1.57,moderate rain
259,Kruisfontein,ZA,-34.0,24.73,50.0,89,0,1.34,clear sky
260,Wilmington,US,34.23,-77.94,71.6,43,1,13.87,clear sky
261,Talnakh,RU,69.49,88.4,12.2,78,100,24.61,overcast clouds
262,Ajdabiya,LY,30.76,20.23,67.15,62,2,6.02,clear sky
263,Parakai,NZ,-36.65,174.43,71.01,83,100,8.99,overcast clouds
264,Roma,US,43.21,-75.46,42.8,52,90,9.17,overcast clouds
265,Vila Franca Do Campo,PT,37.72,-25.43,69.8,88,75,14.99,broken clouds
266,Karoi,ZW,-16.81,29.69,72.12,38,0,8.93,clear sky
